"stim_label","wavelength","stimulus_ND","n_points","mean_diff","mean_abs_diff","rmse","max_abs_diff","cor_value"
"410 4.0","410",4,3485,0.77060802754699,1.90275208928727,2.38700752491427,8.92316402089695,0.930960870643664
"410 2.5","410",2.5,3485,0.672079978450694,1.98239277586064,2.46671186550906,8.54879949037364,0.900715099938901
"410 3.5","410",3.5,3485,2.40185701011181,2.73963631904381,3.30827380203317,11.1169839141971,0.917940683429798
"490 2.0","490",2,3485,3.44858387144322,3.62021834463567,4.20389304786172,11.6473952129554,0.998226760223822
"650B 2.0","650",2,3485,-4.18567711843932,4.24505432170505,4.75433316878988,11.0561361716519,0.897998234564779
"570 4.5","570",4.5,3485,4.19389925732201,4.97229114422957,5.89907115008253,15.2516669505828,0.869469346165786
"570 4.0","570",4,3485,3.34456278540497,5.3197450752179,6.39119322362614,18.6050756009355,0.386181302866866
"570 3.0","570",3,3485,-1.1251981457778,5.60443365795626,6.56917405343503,18.1670357588414,0.433779873520743
"410 3.0","410",3,3485,6.3311941364183,6.33717621326628,6.73692985377604,14.0603034693468,0.886274517576929
"530 5.0","530",5,3485,-5.70421049855291,6.9078410852035,7.965112967454,17.5310502584583,0.748553471305442
"650B 3.0","650",3,3485,-5.6003297887158,7.18620873157811,7.99903855426218,18.2720904652194,-0.0670849766681928
"490 3.0","490",3,3485,7.44351066041622,7.44518921725398,7.79449928252348,14.9675306079013,0.983087120916126
"490 3.5","490",3.5,3485,3.06886604432041,7.94534955520704,9.81644820309013,26.9623854551781,0.012150161995058
"570 5.0","570",5,3485,2.33223050884979,8.01368143397693,9.75178632107539,25.1513662803901,-0.524133841169694
"450 3.5","450",3.5,3485,-5.24641442070937,8.5482997119548,9.71798474158847,20.6878036270145,0.0831718516006922
"490 4.0","490",4,3485,8.89107623020215,8.94350685929343,9.66186493849674,19.4088959583634,0.586881313480596
"530 3.5","530",3.5,3485,7.30217445970981,9.20221233733774,10.8731379397046,25.7341080384911,0.5318552263024
"610 3.5","610",3.5,3485,-2.43869265699818,9.82326795587758,12.4248547674358,34.3987015108861,0.736504332490849
"410 2.0","410",2,3485,11.5505989114423,11.5505989114423,11.7926457860228,18.7495731041464,0.996449549498795
"450 5.0","450",5,3485,11.3182878071967,11.5934694575872,13.4124827424929,24.8776851309591,0.330912449728303
"450 3.0","450",3,3485,-11.7963377552519,11.7963377552519,11.9924238678268,18.9777736813441,0.905530066744602
"530 3.0","530",3,3485,12.2310183064029,12.2656716910246,13.7499215982207,26.4118175704294,0.724860530083786
"650B 4.0","650",4,3485,-11.4036188579213,13.5153111039884,17.1015475452593,39.5920470814635,0.818398657902552
"490 4.5","490",4.5,3485,-13.7968823267327,13.7968823267327,14.3284694462864,27.215861777765,0.979136697534764
"650A 3.5","650",3.5,3485,-14.3678761410995,14.4995109057729,16.9255437553301,33.6084873753207,-0.182021904532096
"370 2.5","370",2.5,3485,15.3925388390816,15.3925388390816,15.5326002839281,22.8472925921567,0.954752028626293
"370 2.0","370",2,3485,15.4956296167927,15.4956296167927,15.6516368378102,24.1577988903104,0.987141609766618
"650A 3.0","650",3,3485,-6.42088573028832,15.6374576190457,18.1272050898462,39.4967166593982,-0.81171621249365
"610 3.0","610",3,3485,15.9312662259045,15.9312662259045,16.0841604564522,25.644292167424,0.93336991745658
"650A 1.0","650",1,3485,-16.033409773431,16.033409773431,16.2124864518756,24.1598246407346,0.994060542706824
"650B 2.5","650",2.5,3485,16.5107303251587,16.5107303251587,17.1617063269359,29.045343435368,0.641188891352454
"370 5.0","370",5,3485,-16.5256527698338,16.5256527698338,16.6559482042741,24.2775072308605,0.96990784520274
"530 2.0","530",2,3485,16.6373747838215,16.6373747838215,16.7890313350404,23.9445781667619,0.996855698996906
"330 3.0","330",3,3485,18.1047841429725,18.110806133216,20.7435522246397,40.2717368322965,0.274835892523543
"530 2.5","530",2.5,3485,15.7602530974626,18.2047227720657,20.640357470024,35.4334541663436,0.665809271005675
"610 4.5","610",4.5,3485,-18.2709953226754,18.2709953226754,19.0672664167699,30.8514814282251,0.913267733709173
"650A 4.0","650",4,3485,7.22542275400798,18.7915150863748,21.5022847503368,44.0157341406464,-0.889868840282986
"370 4.5","370",4.5,3485,19.5747210533474,19.5897745476021,23.4562818192558,50.104285741721,-0.777812113392731
"650A 1.5","650",1.5,3485,19.4021591639313,19.6864035492565,22.6670991369978,41.113002149553,0.136402476027657
"330 1.0","330",1,3485,20.4360291016733,20.5471654382784,23.5076260369787,41.9076928325864,-0.224152639406928
"370 3.5","370",3.5,3485,20.782384767555,20.782384767555,21.4146380161462,39.2068415165881,0.704685893148767
"610 5.0","610",5,3485,21.0318890743665,21.0318890743665,21.4867800884156,35.1876837947176,0.632440982194819
"490 5.0","490",5,3485,21.1135724817134,21.1135724817134,21.5856743104245,32.7751526449364,-0.0530256919282135
"610 2.5","610",2.5,3485,21.9456046284176,21.9578694257082,25.0461024226969,47.0709281429414,-0.523519195894863
"330 2.5","330",2.5,3485,22.0447182021748,22.0447182021748,22.2440317597735,31.7227596464964,0.698568146081194
"370 3.0","370",3,3485,22.6553621569283,22.6553621569283,24.4271845596367,44.4726285885498,0.53256440216247
"610 4.0","610",4,3485,20.9263221247059,22.8379817859196,26.8061649237309,47.7997295053053,-0.652488591800656
"370 4.0","370",4,3485,-22.9682946774418,22.981871524439,26.8100941183443,52.1029799506202,-0.620111609919229
"330 1.5","330",1.5,3485,24.3797189754599,24.3797189754599,25.0006487107614,40.547349279843,0.906281032378285
"330 2.0","330",2,3485,-26.414914155259,26.414914155259,26.5501260576274,35.8099942596349,0.658460182244255
"650A 2.0","650",2,3485,27.3920668561622,27.3920668561622,27.7379819287366,41.8632852311988,0.839143325412461
"650A 2.5","650",2.5,3485,-27.5977659913833,27.5978107992757,29.2891075396014,46.3856292770277,-0.0839762859693272
"490 2.5","490",2.5,3485,28.2104314365539,28.2104314365539,28.3083888042174,38.0878959429922,0.995362745762962
"610 2.0","610",2,3485,28.2279950779164,28.2279950779164,28.3140932798964,35.7041821361334,0.995028428272464
"650B 1.5","650",1.5,3485,-7.55428887703311,28.8035367483561,32.4142162717182,52.3595986323376,-0.337131677840223
"570 3.5","570",3.5,3485,29.2797557856184,29.2797557856184,29.5938746413173,40.351139116249,0.606258233023743
"410 4.5","410",4.5,3485,29.9339472526868,29.9339472526868,30.7705892726117,49.6202894340758,0.883239022796717
"330 3.5","330",3.5,3485,-30.182870392854,30.182870392854,30.4943413009774,41.2692870550406,0.331606433332943
"570 2.0","570",2,3485,-31.9298843807963,31.9298843807963,32.0165635730349,40.6813657369344,0.995338613242794
"450 4.0","450",4,3485,33.6763544695034,33.6763544695034,34.3071234109557,56.6121516226522,-0.127766855236869
"650B 4.5","650",4.5,3485,37.0977921688182,37.0977921688182,37.8161485648144,53.6676455193241,-0.308005063469632
"450 2.0","450",2,3485,-37.3167298548491,37.3167298548491,37.3830056644891,45.0584701255038,0.997320011997485
"330 4.0","330",4,3485,37.4827576430939,37.4827576430939,37.8480505329711,49.0566148933852,0.917345132825263
"570 2.5","570",2.5,3485,38.0898654134149,38.0898654134149,39.4524461544459,59.4225204644933,0.800860359051142
"450 4.5","450",4.5,3485,-38.0943640697952,38.0943640697952,39.0623845743085,55.3785245136177,0.722529905520786
"530 4.5","530",4.5,3485,38.3238918619726,38.3238918619726,38.4397047409511,47.9724697116064,0.652952755855207
"450 2.5","450",2.5,3485,38.9221283941517,38.9221283941517,38.9821840918165,46.8014992669182,0.983607520839649
"650B 3.5","650",3.5,3485,43.3481954419126,43.3481954419126,43.5598911121715,57.9788158747195,0.405351158470254
"410 5.0","410",5,3485,-47.2727650235419,47.2727650235419,49.2555686863522,80.9526627606961,-0.507206155484927
"530 4.0","530",4,3485,-55.0253279982949,55.0253279982949,55.5428993563969,70.4419070342513,0.921632276881121
