"stim_index_70","stim_col","stim_label","wavelength","stimulus_ND"
1,"650.00A 4.0","650A 4.0","650",4
2,"650.00A 3.5","650A 3.5","650",3.5
3,"650.00A 3.0","650A 3.0","650",3
4,"650.00A 2.5","650A 2.5","650",2.5
5,"650.00A 2.0","650A 2.0","650",2
6,"650.00A 1.5","650A 1.5","650",1.5
7,"650.00A 1.0","650A 1.0","650",1
8,"570.00 5.0","570 5.0","570",5
9,"570.00 4.5","570 4.5","570",4.5
10,"570.00 4.0","570 4.0","570",4
11,"570.00 3.5","570 3.5","570",3.5
12,"570.00 3.0","570 3.0","570",3
13,"570.00 2.5","570 2.5","570",2.5
14,"570.00 2.0","570 2.0","570",2
15,"490.00 5.0","490 5.0","490",5
16,"490.00 4.5","490 4.5","490",4.5
17,"490.00 4.0","490 4.0","490",4
18,"490.00 3.5","490 3.5","490",3.5
19,"490.00 3.0","490 3.0","490",3
20,"490.00 2.5","490 2.5","490",2.5
21,"490.00 2.0","490 2.0","490",2
22,"410.00 5.0","410 5.0","410",5
23,"410.00 4.5","410 4.5","410",4.5
24,"410.00 4.0","410 4.0","410",4
25,"410.00 3.5","410 3.5","410",3.5
26,"410.00 3.0","410 3.0","410",3
27,"410.00 2.5","410 2.5","410",2.5
28,"410.00 2.0","410 2.0","410",2
29,"330.00 4.0","330 4.0","330",4
30,"330.00 3.5","330 3.5","330",3.5
31,"330.00 3.0","330 3.0","330",3
32,"330.00 2.5","330 2.5","330",2.5
33,"330.00 2.0","330 2.0","330",2
34,"330.00 1.5","330 1.5","330",1.5
35,"330.00 1.0","330 1.0","330",1
36,"650.00B 4.5","650B 4.5","650",4.5
37,"650.00B 4.0","650B 4.0","650",4
38,"650.00B 3.5","650B 3.5","650",3.5
39,"650.00B 3.0","650B 3.0","650",3
40,"650.00B 2.5","650B 2.5","650",2.5
41,"650.00B 2.0","650B 2.0","650",2
42,"650.00B 1.5","650B 1.5","650",1.5
43,"610.00 5.0","610 5.0","610",5
44,"610.00 4.5","610 4.5","610",4.5
45,"610.00 4.0","610 4.0","610",4
46,"610.00 3.5","610 3.5","610",3.5
47,"610.00 3.0","610 3.0","610",3
48,"610.00 2.5","610 2.5","610",2.5
49,"610.00 2.0","610 2.0","610",2
50,"530.00 5.0","530 5.0","530",5
51,"530.00 4.5","530 4.5","530",4.5
52,"530.00 4.0","530 4.0","530",4
53,"530.00 3.5","530 3.5","530",3.5
54,"530.00 3.0","530 3.0","530",3
55,"530.00 2.5","530 2.5","530",2.5
56,"530.00 2.0","530 2.0","530",2
57,"450.00 5.0","450 5.0","450",5
58,"450.00 4.5","450 4.5","450",4.5
59,"450.00 4.0","450 4.0","450",4
60,"450.00 3.5","450 3.5","450",3.5
61,"450.00 3.0","450 3.0","450",3
62,"450.00 2.5","450 2.5","450",2.5
63,"450.00 2.0","450 2.0","450",2
64,"370.00 5.0","370 5.0","370",5
65,"370.00 4.5","370 4.5","370",4.5
66,"370.00 4.0","370 4.0","370",4
67,"370.00 3.5","370 3.5","370",3.5
68,"370.00 3.0","370 3.0","370",3
69,"370.00 2.5","370 2.5","370",2.5
70,"370.00 2.0","370 2.0","370",2
